x,y,depth,roll,pitch,yaw,u,v,w,p,q,r,rudder,stern_plane,rpm,col15,col16,col17,time,heading,speed,ins_x,ins_y,current_x,current_y,ax,ay,az
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005998800159983109,1525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00124270927603171,-0.008737314069639643,-0.013913691169373382,0.15232283609862843,-0.053503211374565186,0.026487410685138473,0.0
-2.1401284549826075e-05,1.059496427405539e-05,0.0,4.160598576106574e-05,1.7788210683711573e-06,-7.44718331212677e-21,-0.0010700642274913037,0.0005297482137027695,0.0,0.002080299288053287,8.894105341855787e-05,-3.723591656063385e-19,6.981317007977499e-05,0.012190375812145708,1525.0,0.0,0.0011997600319966217,30.5,0.02,-4.2669217304512156e-19,0.0011940144977670227,0.00842857331488784,0.0015558205077048513,-0.17222621132882135,0.12553990903268705,-0.05274592508679721,0.026284418128408933,8.955538008421938e-05
-6.359802449019845e-05,3.1622495777750704e-05,7.2594235756361e-08,0.00012068956804594207,5.174841817909902e-06,6.873103815429901e-11,-0.0021098370034718884,0.0010513767251363573,3.5822152033687752e-06,0.003954179114237703,0.00016980103747295063,-3.6281876403339567e-09,0.00014229654320401303,0.018397759096292376,1525.0,1.3962634015954998e-05,0.003397883188026439,60.39,0.04,3.937998407793965e-09,0.0023572904003629786,0.028101938488296684,-0.004063680862978386,0.0018466157273105605,0.1894300752840445,-0.049988652043777525,0.025884415645155836,0.00024770327599957156
-0.00012499022963136582,6.292496841957452e-05,2.7485243487315136e-07,0.0002333498877084231,9.899327046924432e-06,8.126387249087325e-10,-0.0030696103092424046,0.0015651248395090029,9.908131039982863e-06,0.005633015982931571,0.0002362242642194034,8.685580059082491e-09,0.0002173498822060104,0.024602582546054904,1525.0,3.96294158535666e-05,0.0063978583696796265,89.6822,0.06,4.65607692061631e-08,0.0034456090005855334,0.041355449298169276,0.04301056658071969,0.19582504751285312,-0.11393218515023035,-0.04482452714595625,0.025496417874062243,0.0003659016385796705
-0.00020304658774474162,0.00010434955100561374,6.496571870446627e-07,0.0003759285749494588,1.5555566704696468e-05,3.2091540685240496e-09,-0.0039028180893101385,0.002071233440098847,1.8218280746555595e-05,0.00712893436086559,0.00028281200315006784,5.3831620061777104e-08,0.0002948852143062747,0.03078825329631646,1525.0,7.517350912405535e-05,0.01003880320495468,118.388556,0.08,1.8387098393366503e-07,0.004418407960723353,0.03634068171353563,0.06571324484828774,-0.017056959275956764,-0.16486673253814782,-0.037405585126622835,0.025120461607079907,0.0004478328405169656
-0.00029436325322865046,0.00015574820397898975,1.2268288255111803e-06,0.0005450215009964625,2.1655090800561672e-05,8.450301476949793e-09,-0.004565833714307318,0.002569943303792199,2.7821444660661485e-05,0.008454646298273737,0.0003049762817581436,1.47408084511299e-07,0.00037482042621213356,0.03693968655498173,1525.0,0.00011911585016049922,0.014188693223227036,146.52078488,0.1,4.841666102423892e-07,0.005239486627924031,0.09185418017062402,0.04933297136942811,0.1953556802601244,-0.15891899501947016,-0.02787412483027939,0.024756500487060396,0.0004966761953561758
-0.0003947188981554661,0.00021697764808202314,2.024080087934633e-06,0.0007374872427904274,2.763140439751571e-05,1.779963129288856e-08,-0.005017783082521314,0.003061493459581263,3.808532856080263e-05,0.009623287079575212,0.00029881589024561347,3.0460545896829716e-07,0.00045707525278843063,0.04304307866031152,1525.0,0.0001702567653708261,0.018738891889577974,174.0903691824,0.12,1.0198437499715033e-06,0.005878123829807223,0.09630002264917671,0.0016212967110167719,-0.0986555156674846,0.03777097061205815,-0.016363538328210622,0.02440440745414168,0.0005151746643749624
-0.0004991263761185561,0.0002878993046689281,3.0478377294687635e-06,0.0009504522282751732,3.2851627906245534e-05,3.24640320539889e-08,-0.005220375247435743,0.0035461196019578663,4.842843123565998e-05,0.010648249253977391,0.0002610116451965204,5.407274437194262e-07,0.0005415689869232625,0.049085714277100165,1525.0,0.00022762046285434702,0.023599729243724683,201.108561798752,0.14,1.8600520226709852e-06,0.006311071800287298,0.10870922556667988,-0.0022339364154577465,0.055639798614420935,-0.029197520696176357,-0.0029992704969802756,0.024063977579685532,0.0005056881251995429
-0.0006018814158974625,0.00036837920776533765,4.293963327970881e-06,0.0011813125579105636,3.66263784037982e-05,5.34809686622146e-08,-0.005137753902400525,0.004024052562768684,5.8312853568784345e-05,0.011543016447247487,0.00018873843840828828,8.71460381127318e-07,0.0006282193712708575,0.055055803195549126,1525.0,0.0002904101676681301,0.02869692625039978,227.58639056277696,0.16,3.064233788616313e-06,0.006526324737434414,0.06226738880555432,0.03502297765532658,-0.1150014856893234,-0.005553860846642779,0.012099966248551598,0.023734930648963235,0.0004702352635517788
-0.0006966088994484954,0.0004582878879448792,5.74840093563755e-06,0.001427732489814506,3.821819099967346e-05,8.162100890466425e-08,-0.004736376597493679,0.004495516827916396,6.723784177773113e-05,0.012320996543663726,7.959223636819122e-05,1.3129796408440722e-06,0.0007169422477134164,0.0609423434977855,1525.0,0.00035797200838867557,0.033968701639429645,253.5346627515214,0.18,4.676539329836972e-06,0.006530501952433076,0.06737852594731113,0.04516823625491418,-0.05316414191696539,-0.11998355110075253,0.028820435560873214,0.02341691217107619,0.0004105260182854471
